127.0.0.1 - - [26/Jan/2022:09:30:16 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:30:18 +0900] "GET /01JSP/05%EC%95%A1%EC%85%98%ED%83%9C%EA%B7%B8/03/01Page.jsp HTTP/1.1" 200 13816
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:30:18 +0900] "GET /01JSP/05%EC%95%A1%EC%85%98%ED%83%9C%EA%B7%B8/03/css/common.css HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:30:18 +0900] "GET /01JSP/05%EC%95%A1%EC%85%98%ED%83%9C%EA%B7%B8/03/img/3banner.jpg HTTP/1.1" 200 460277
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:30:18 +0900] "GET /01JSP/05%EC%95%A1%EC%85%98%ED%83%9C%EA%B7%B8/03/img/1banner.jpg HTTP/1.1" 200 539358
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:30:18 +0900] "GET /01JSP/05%EC%95%A1%EC%85%98%ED%83%9C%EA%B7%B8/03/img/ngookbi_thum007.jpg HTTP/1.1" 200 32602
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:30:18 +0900] "GET /01JSP/05%EC%95%A1%EC%85%98%ED%83%9C%EA%B7%B8/03/img/ngookbi_thum004.jpg HTTP/1.1" 200 25362
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:30:18 +0900] "GET /01JSP/05%EC%95%A1%EC%85%98%ED%83%9C%EA%B7%B8/03/img/2banner.jpg HTTP/1.1" 200 107479
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:30:18 +0900] "GET /01JSP/05%EC%95%A1%EC%85%98%ED%83%9C%EA%B7%B8/03/img/ngookbi_thum009.jpg HTTP/1.1" 200 42162
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:30:18 +0900] "GET /01JSP/05%EC%95%A1%EC%85%98%ED%83%9C%EA%B7%B8/03/img/ngookbi_thum010.jpg HTTP/1.1" 200 31232
0:0:0:0:0:0:0:1 - - [26/Jan/2022:09:30:18 +0900] "GET /favicon.ico HTTP/1.1" 404 819
