127.0.0.1 - - [03/Feb/2022:09:04:58 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:04:58 +0900] "GET /Login.jsp HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:04:58 +0900] "GET /resources/css/common.css HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:04:59 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:03 +0900] "POST /LoginProc.do HTTP/1.1" 500 1388
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:07 +0900] "POST /LoginProc.do HTTP/1.1" 200 11176
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:07 +0900] "GET /resources/img/3banner.jpg HTTP/1.1" 200 460277
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:07 +0900] "GET /resources/img/1banner.jpg HTTP/1.1" 200 539358
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:07 +0900] "GET /resources/img/2banner.jpg HTTP/1.1" 200 107479
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:07 +0900] "GET /resources/img/ngookbi_thum009.jpg HTTP/1.1" 200 42162
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:07 +0900] "GET /resources/img/ngookbi_thum007.jpg HTTP/1.1" 200 32602
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:07 +0900] "GET /resources/img/ngookbi_thum004.jpg HTTP/1.1" 200 25362
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:07 +0900] "GET /resources/img/ngookbi_thum010.jpg HTTP/1.1" 200 31232
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:11 +0900] "GET /LogoutProc.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:11 +0900] "GET /Login.jsp HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:15 +0900] "POST /LoginProc.do HTTP/1.1" 200 11176
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:20 +0900] "GET /Notice/list.do HTTP/1.1" 200 4887
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:20 +0900] "GET /Notice/resources/css/common.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:21 +0900] "GET /Notice/list.do HTTP/1.1" 200 4887
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:21 +0900] "GET /Notice/resources/css/common.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:22 +0900] "GET /Notice/list.do HTTP/1.1" 200 4887
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:22 +0900] "GET /Notice/resources/css/common.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:24 +0900] "GET /Notice/list.do HTTP/1.1" 200 4887
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:24 +0900] "GET /Notice/resources/css/common.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:25 +0900] "GET /Notice/list.do HTTP/1.1" 200 4887
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:25 +0900] "GET /Notice/resources/css/common.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:31 +0900] "GET /MemberSearch.do HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:40 +0900] "GET /Notice/list.do HTTP/1.1" 200 4887
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:40 +0900] "GET /Notice/resources/css/common.css HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:44 +0900] "GET /LogoutProc.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Feb/2022:09:05:44 +0900] "GET /Login.jsp HTTP/1.1" 200 1890
